Name,Details,Matriculation Year,Placename
"Greenhill, William","of Oxon, pleb. Magdalen Coll., matric. 8 June, 1604, aged 13; demy 1603-12, B.A. 25 Jan., 1608-9, M.A. 9 July, 1612, vicar of New Shoreham 1615-33, etc., pastor of the Independents at Stepney 1644-71, incumbent of St. Dunstan'sin-the-East 1653-60; died 27 Sept., 1671, buried 2 Oct. See Ath. iii. 1145; Bloxam, v. 6; Calamy, ii. 468; & D.N.B.",1604,oxon
"Greenwood, Daniel (Greenowoode)","s. Richard, of Sowerby, Yorks, pleb. Lincoln Coll., matric. 30 April, 1624, aged 19, B.A. 26 Jan., 1626-7; fellow Brasenose Coll., M.A. 17 June, 1629, B.D. 3 Feb., 1640-1, created D.D. 24 July, 1649, principal of his college 1648-60 (by the committee and visitors), vice-chancellor 1650-2 rector of Chastleton, Oxon. 1640-62, licenced 20 June, 1642, to marry Grizile Hill, spinster; died at Steeple Aston 29 Jan., 1673, buried in the chancel. See Calamy, i. 214; Lansdowne MS. 986, f. 170; London Marriage Licences, ed. Foster; Burrows, 481; & Fasti, ii. 157.",1624,yorks,lincoln,oxon,london
"Greenwood, Robert (Grenewood)","of Devon, gent. St. Edmund Hall, matric. 20 Oct., 1609, aged 16; B.A. 4 Feb., 1612-13, M.A. 20 June, 1615.",1609,devon
"Greenwood, Thomas","of Devon, gent. Exeter Coll., matric. 26 Oct., 1604, aged 17; possibly a student of Lincoln's Inn 1607. See Foster's Inns of Court Reg.",1604,devon
"Gregge, John","s. Robert, of Weston, Cheshire, pleb. Brasenose Coll., matric. 16 Dec., 1625, aged 17; B.A. 17 June, 1629.",1625,cheshire
"Gregge, Richard","of Cheshire, pleb. Brasenose Coll., matric. 28 June, 1616, aged 19.",1616,cheshire
"Gregge, William","of Cheshire, cler. fil. Brasenose Coll., matric. 10 Nov., 1621, aged 19; B.A. 23 May, 1622; possibly student of Gray's Inn 1620 (as 2nd son Thomas, of Bradley, Cheshire, gent.); perhaps vicar of Bolton-le-Moors, co. Lancaster, 1630. See Foster's Gray's Inn Reg. [35]",1621,cheshire,lancaster
"Gregory, Alexander","of Berks, pleb. Magdalen Coll., matric. 16 June, 1610, aged 16; chorister 1604, clerk 1612-17, B.A. 15 Dec., 1614, M.A. 23 June, 1617. See Bloxam, i. 32.",1610,berks
"Gregorie, Edward","s. Jerome, of Oxford, pleb. Lincoln Coll., matric. 27 Jan., 1625-6, aged 17; perhaps B.A. from Magdalen Hall 2 June, 1627, M.A. 3 June, 1630.",1625,oxford,lincoln
"Gregory, Jerome","of Oxon, pleb. Magdalen Coll., matric. 12 Oct., 1621, aged 18; B.A. from Magdalen Hall 14 Nov., 1623, M.A. 2 June, 1627, vicar of Little Marlow, Bucks, until ejected 1662 for nonconformity. See Calamy, i. 308.",1621,oxon,bucks
"Gregorie, Richard","of co. Hereford, pleb. All Souls' Coll., matric. 4 June, 1619, aged 20; B.A. 9 Feb., 1620-1, rector of Hopton, or Upton Cressett, Salop, 1623. See Foster's Index Eccl.",1619,hereford,salop
"Gregory, Robert","of co. Hereford, cler. fil. All Souls' Coll., matric. 15 Dec., 1609, aged 21; B.A. 18 Feb., 1611-12, M.A. 20 June, 1615 (then in orders), vicar of Fownhope, co. Hereford, 1619, rector of Sutton Nicholas, co. Hereford, 1633; father of William 1644. See Foster's Index Eccl.",1609,hereford
"Gregorius, Robert","of co. Warwick, arm. Magdalen Hall, matric. 11 Oct., 1616, aged 30.",1616,warwick
"Gregory, William","of co. Warwick, pleb. Exeter Coll., matric. 16 Oct., 1607, aged 16; B.A. 4 June, 1611, M.A. 4 May, 1615, incorporated at Cambridge 1617, perhaps vicar of All Saints, Bristol, 1618, and rector of Chelvey, Somerset, 1619. See Foster's Index Eccl.",1607,warwick,cambridge,bristol,somerset
"Gregson, John","of co. Lancaster, pleb. St. Mary Hall, matric. 11 April, 1617, aged 19; B.A. 5 July, 1620.",1617,lancaster
"Grent, Henry","of Middlesex, gent. New Coll., matric. 31 Oct., 1617, aged 20; B.A. 18 April, 1621, M.A. 16 Jan., 1624-5, incorporated at Cambridge 1626 (memo.Graunte cr. B.D. Oxon, 1 or 2 Nov., 1642), rector of Church Lawford, co. Warwick, 1635. See Foster's Index Eccl.",1617,middlesex,cambridge,oxon,warwick
"Grent, John","of London, pleb. New Coll., matric. 13 Oct., 1609, aged 19; B.A. 4 June, 1613, M.A. 2 May, 1617, vicar of Aston, near Birmingham, co. Warwick, 1621; father of Thomas 1647. See Foster's Index Eccl.",1609,london,warwick
"Grent, Thomas","of Sussex, gent. New Coll., matric. 29 Nov., 1605, aged 21; B.A. 2 May, 1609, M.A. 16 Jan., 1612-13, B. and D.Med. 15 July, 1619, fellow college of physicians 1623, physician to St. Thomas's hospital, physician to either the king or queen; died 11 Dec., 1649. See Munk's Roll, i. 184; & Fasti, i. 396.",1605,sussex
"Grenville, (Sir) Bevill (Greynvile)","of Cornwall, militis fil. Exeter Coll., matric. 14 June, 1611, aged 16, B.A. 17 Feb., 1613-14; of Kenigarth, Cornwall (s. Sir Bernard), M.P. Cornwall 1621-2, 1624-5, Launceston 1625, 1626, 1628-9, April-May 1640, Cornwall 1640 (L.P.) until disabled 19 Sept., 1642, knighted 23 June, 1639, slain at Lansdowne 5 July, 1643, aged 48; father of Bernard, last-named, of Dennis, of John 1663, and of Richard 1638. See Dict. Natl. Biography.",1611,cornwall
"Gresham, (Sir) Edward","born in London, militis fil. Queen's Coll., matric. 6 July, 1604, aged 14; B.A. 12 June, 1607, a student of the Inner Temple 1609, as of Limpsfield, Surrey (2s. Sir Thomas), one of the king's body guard, knighted at Theobalds 12 Nov., 1617, gentleman pensioner 1618; died 2 Jan., 1647-8; father of Thomas 1632. See Foster's Inns of Court Reg.",1604,london,surrey
"Gresham, (Sir) John","of Kent, militis fil. nat. max. Queen's Coll., matric. 6 July, 1604, aged 15; student of Inner Temple 1607, as of Limpsfield, Surrey (s. Sir Thomas), knighted at Hampton Court 8 Feb., 1616, sheriff of Surrey 1639; died at Titsey 26 May, 1643; brother of the last-named. See Foster's Inns of Court Reg.",1604,kent,surrey
"Gresham, Thomas","of Surrey, militis fil. Queen's Coll., matric. 1 July, 1608, aged 15; 'of the Chart' (s. Sir Thomas, of Titsey, Surrey); brother of John 1604, and Edward 1604, and father of Thomas 1638.",1608,surrey
"Greswoulde, Richard","of co. Warwick, gent. Magdalen Coll., matric. 26 Oct., 1607, aged 18; student of Middle Temple 1609, as son and heir of Thomas, of Solihull, co. Warwick, esq., deceased. See Foster's Inns of Court Reg. [15]",1607,warwick
"Grey, William (Gray)","baronis fil. Magdalen Coll., matric. 18 May, 1604, aged 15 (son of Arthur Grey, Baron of Wilton); died 18 Feb., 1605; brother of Thomas 1593. See Gutch, i. 332; & Bloxam, iv. 241.",1604
"Grice, Richard","s. Henry, of Sandowne, Yorks, gent. Magdalen Hall, matric. 27 June, 1623, aged 17; B.A. 21 Oct., 1626.",1623,yorks
"Grice, Thomas","of London, pleb. St. John's Coll., matric. 15 Nov., 1605, aged 18; B.A. 26 June, 1609, M.A. 27 April, 1613 (s. Nicholas, master of Merchant Taylors' company), rector of Littleton, Middlesex, 1617-37, licenced 17 Sept., 1617, to marry Martha, daughter of Edward Topsell of St. Anne and Agnes, Aldersgate, London, clerk, he died in 1637. See Foster's Index Eccl.; London Marriage Licences, ed. Foster; & Robinson, i. 44.",1605,london,middlesex
"Griffithes, Adam","of Salop, pleb. Broadgates Hall, matric. 7 Dec., 1604, aged 15; B.A. 15 Feb., 1609-10, M.A. 17 June, 1613, rector of Rushbury, Salop, 1613, and of Wistanstow, Salop, 1614. See Foster's Index Eccl.",1604,salop
"Griffith, Evan","of co. Glamorgan, pleb. Brasenose Coll., matric. 12 April, 1616, aged 17; B.A. 3 Nov., 1618.",1616,glamorgan
"Griffith, George (Gryphes)","of Salop, gent. Balliol Coll., matric. 6 July, 1613, aged 17.",1613,salop
"Griffith, George","of co. Anglesey, gent. Christ Church, matric. 12 Nov., 1619, aged 18; B.A. 26 June, 1623, M.A. 9 May, 1626, B.D. 23 Oct., 1632, licenced to preach 1633, D.D. 4 Nov., 1634, an original scholar of Pembroke Coll. 1624, see Gutch, i. 617; (3s. Robert, of Carreylwyd), born at Llanfaethlu, in Anglesey, 30 Sept., 1601, chaplain to Bishop Owen, of St. Asaph, rector of Newtown, co. Montgomery, 1631, canon and archdeacon of St. Asaph 1632-60, rector of Llanfechain 1632, of Llandrinio, co. Montgomery, 1633, and of Llanymynach, Salop, 1634, bishop of St. Asaph 1660, until his death 28 Nov. (or Dec.), 1666. See Ath. iii. 754; Lansdowne MS. 986, f. 90; Fasti, i. 476; Al. West. 88; Thomas, 344, 757; Foster's Index Eccl.; & D.N.B.",1619,anglesey,pembroke,montgomery,salop
"Griffith, Henry (Gruffith)","of co. Carnarvon, pleb. Christ Church, matric. 1 July, 1603, aged 19.",1603,carnarvon
"Griffin, Henry","of Oxon, cler. fil. University Coll., matric. 17 Nov., 1615, aged 16. [10]",1615,oxon
"Griffith, Harbert","of co. Hereford, doctoris fil. Brasenose Coll., matric. 7 Dec., 1621, aged 15; M.A. 5 July, 1628.",1621,hereford
"Griffithes, Isaac","s. William, of Llangevela, co. Glamorgan, sacerd. Jesus Coll., matric. 30 April, 1624, aged 18; B.A. 2 June, 1627.",1624,glamorgan
"Griffith, Jeffrey (Griffis)","of co. Montgomery, gent. Jesus Coll., matric. 15 June, 1604, aged 14.",1604,montgomery
"Griffith, John (Gruffins)","of co. Monmouth, pleb. Jesus Coll., matric. 25 Oct., 1611, aged 19.",1611,monmouth
"Griffith, John","of co. Carnarvon, arm. fil. nat. max. Brasenose Coll., matric. 31 Oct., 1606, aged 15; B.A. 5 July, 1609, student of Lincoln's Inn, 1609; perhaps of Cefn Amlwch in Llynn, co. Carnarvon, M.P. co. Carnarvon 1621-2, 1626, 1628-9, Beaumaris 1640 (L.P.), until his death, 10 Aug., 1642. See Foster's Inns of Court Reg. & Parliamentary Dictionary.",1606,carnarvon
"Griffith, John","s. ""Griffin John"", of Coytchurch, co. Glamorgan, pleb. Brasenose Coll., matric. 23 Jan., 1623-4, aged 22; B.A. 5 Feb., 1623-4.",1623,glamorgan
"Griffith, John","s. Robert, of Caernethor, co. Monmouth, gent. New Coll., matric. 12 Nov., 1624, aged 14; B.A. 11 March, 1627-8; perhaps M.A. from Hart Hall 3 June, 1630.",1624,monmouth
"Griffin, Joseph","of Somerset, pleb. Exeter Coll., matric. 17 Dec., 1619, aged 19; B.A. 31 Jan., 1620-1.",1619,somerset
"Griffith, Morris (Gryffyth)","of co. Monmouth, pleb. Christ Church, matric. 6 Feb., 1617-18, aged 19; B.A. 21 Nov., 1618, M.A. 17 June, 1624.",1617,monmouth
"Griffith, Philip","of co. Pembroke, pleb. Jesus Coll., matric. 18 May, 1604, aged 19.",1604,pembroke
"Griffith, Rice","s. Henry, of St. Patrick, co. Pembroke, sacerd. Jesus Coll., matric. 20 June, 1623, B.A. 9 Feb., 1625-6, M.A. 10 July, 1628, vicar of Nantglyn, co. Denbigh, 1635, of Ysceifiog, Flints, 1639, and of Mold 1641. See Thomas, 497.",1623,pembroke,denbigh,flints
"Griffin, Richard","of Cheshire, arm. Brasenose Coll., matric. 1 Dec., 1609, aged 15; B.A. 1 July, 1612, student of Lincoln's Inn, 1612, as son of John, of Batheston, Chester, gent. See Foster's Inns of Court Reg. [5]",1609,cheshire,chester
"Griffithes, Robert","of co. Hereford, doctoris fil. nat. max. Brasenose Coll., matric. 7 Dec., 1621, aged 17; B.A. from Jesus Coll. 1 July, 1624; perhaps vicar of Dormington, co. Hereford, 1667. See Foster's Index Eccl.",1621,hereford
"Griffith, Thomas (Griffies)","of co. Carnarvon, pleb. Christ Church, matric. 16 Nov., 1621, aged 17; B.A. 7 July, 1625.",1621,carnarvon
"Griffithes, Thomas","s. ""Griffin Jones"", of Llangynin, co. Montgomery, pleb. Hart Hall, matric. 10 Dec., 1624, aged 42. [40]",1624,montgomery
"Griffith, Walter","s. Giles, of Monmouth, co. ""Mon.,"" pleb. Jesus Coll., matric. 21 June, 1622, aged 18; B.A. 21 June, 1625, M.A. 20 May, 1628.",1622,monmouth
"Griffith, William (Gruffyth)","of co. Carnarvon, arm. Hart Hall, matric. 20 June, 1606, aged 17.",1606,carnarvon
"Griffith, William (Gruffyth)","of co. Carnarvon, gent. Hart Hall, matric. 7 April, 1609, aged 15.",1609,carnarvon
"Griffith, William","of Anglesea, gent. New Coll., matric. 17 Nov., 1615, aged 19; B.A. from Hart Hall 24 Nov., 1618; fellow of New Coll., B.C.L. 18 Jan., 1622-3, D.C.L. 30 June, 1627 (1s. Robert of Carveglwyd in Llanfaethlu in Anglesea), advocate 3 May, 1628, and a master in chancery, chancellor of the diocese of Bangor 1629, and of St. Asaph 1627; died 17 Oct., 1648; father of John 1654, and of Francis 1655. See Lansdowne MS. 985, f. 132; Fasti, i. 432; & Coote's Civilians.",1615,anglesea
"Griffith, William (Gruffith)","of co. Flint, pleb. Hart Hall, matric. 2 Nov., 1621, aged 21; B.A. 23 June, 1623; perhaps M.A. from Jesus Coll. 10 July, 1628; incorporated at Cambridge 1635.",1621,flint,cambridge
"Griffith, William","of co. Gloucester, gent. Broadgates Hall, matric. 10 Nov., 1621, aged 18 fellow Pembroke Coll. 1624, B.C.L. 17 March, 1626-7 See Gutch, i. 617. [30]",1621,gloucester,pembroke
"Griffith, William","s. Edmund, of Carnarvon town, arm. (""sacerd, erased."") Brasenose Coll., matric. 5 Dec., 1623, aged 18: B.A. 18 Feb., 1625-6.",1623,carnarvon
Grimes (Sir) George (Grymes),"s. Thomas, of Peckham, Surrey, gent. Brasenose Coll., matric. 6 Dec., 1622, aged 14; student of Inner Temple 1624, his father knighted 10 June, 1603, and he knighted 19 Dec., 1628; buried 15 Oct., 1657. See Collect. Top. and Gen. iii. 157; & Foster's Inns of Court Reg.",1622,surrey
"Grimes, Samuel (Grymes)","of co. Gloucester, pleb. St. John's Coll., matric. 24 April, 1618, aged 16, B.A. 22 Jan., 1620-1; M.A. from Broadgates Hall 7 July, 1624, vicar of Hadlow, Kent, 1628, until sequestered about 1645, and of East Peckham 1661. See Foster's Index Eccl. & Add. MS. 15,670, p. 35.",1618,gloucester,kent
"Grinkin, William","of Surrey, gent. Queen's Coll., matric. 10 Nov. 1621, aged 18, B.A. 15 April, 1624; M.A. from Jesus Coll. 8 March, 1626-7; incorporated at Cambridge 1629. [20]",1621,surrey,cambridge
"Gripp, William","of Berks, pleb. Magdalen Hall, matric. 17 April, 1618, aged 18; B.A. 6 July, 1621.",1618,berks
"Groome, Thomas","of Oxon, pleb. Brasenose Coll., matric. 31 Oct., 1606, aged 17; B.A. 6 Feb., 1609-10, M.A. 2 July, 1613, vicar of Chute, Wilts, 1618. See Foster's Index Eccl.",1606,oxon,wilts
"Grove, John","of Dorset, gent. Wadham Coll., matric. 10 May, 1616, aged 17; student of Middle Temple 1618, as son and heir of William, of Shafton, Dorset, esq. See Hutchins, iii. 568; & Foster's Inns of Court Reg.",1616,dorset
"Grove, Richard","of co. Gloucester, pleb. Magdalen Hall, matric. 16 Nov., 1621, aged 16.",1621,gloucester
"Grove, Robert","of Somerset, arm. Queen's Coll., matric. 23 Jan., 1606-7, aged 16. [5]",1606,somerset
"Grove, Thomas","of Berks, pleb. Magdalen Hall, matric. 22 Nov., 1616, aged 15.",1616,berks
"Grover, Jonathan","of co. Warwick, cler. fil. Oriel Coll., matric. 8 May, 1618, aged 18; B.A. 29 Jan., 1620-1, M.A. 1 July, 1623, rector of Rugby, co. Warwick, 1623. See Foster's Index Ecclesiasticus.",1618,warwick
"Growdon, Henry","of Devon, pleb. Broadgates Hall., matric. 11 June, 1619, aged 18. [25]",1619,devon
"Grubbe, John","of Wilts, gent. Queen's Coll., matric. 28 June, 1605, aged 16; B.A. 22 June, 1608, student of Lincoln's Inn 1609, as son and heir of Thomas of Devizes. See Foster's Inns of Court Reg.",1605,wilts
"Grubb, Thomas","of Wilts, gent. Queen's Coll., matric. 16 June, 1610, aged 16; B.A. 1 March, 1613-14; M.A. from St. Edmund Hall 20 June, 1616; incorporated at Cambridge 1619, student of Lincoln's Inn 1618 (as 4th son of Thomas of Potterne, Wilts, esq.). See Foster's Inns of Court Reg.",1610,wilts,cambridge
"Gruchy, Daniel","of Hants, cler. fil. University Coll., matric. 31 Oct., 1617, aged 16; B.A. 19 June, 1620, M.A. 11 July, 1623; perhaps rector of St. Mary in Jersey 1663. See Foster's Index Ecclesiasticus. [35]",1617,hants,jersey
"Grylls, Francis","of Cornwall, gent. Brasenose Coll., matric. 11 May, 1604, aged 19; B.A. 19 Nov., 1607, M.A. 26 June, 1610 (s. Charles, of Lanrethoe, Cornwall), rector of Lanreath, Cornwall, 1614. See Foster's Index Eccl. [5]",1604,cornwall
"Guatson, Mathias","of co. Derby, pleb. Oriel Coll., matric. 7 April, 1609, aged 17. See Watson.",1609,derby
"Guaves, John (Gwaves)","of Cornwall, pleb. Exeter Coll., matric. 15 Oct., 1619, aged 17; bar.-at-law, Middle Temple, 1629, as son and heir of John Guavas, of Helstone, Cornwall, gent. See Foster's Judges and Barristers.",1619,cornwall
"Gubbin, Edward","of Oxon, pleb. Exeter Coll., matric. 17 March, 1619-20, aged 18; B.A. 31 Jan., 1620-1, M.A. 29 June, 1623. [30]",1619,oxon
"Guise, Antony","3s. William, of Elmore, co. Gloucester, militis. Magdalen Hall, matric. 2 July, 1624, aged 16; B.A. 23 Feb., 1627-8, M.A. 8 June, 1630, rector of Swindon, co. Gloucester, 1638; brother of John 1618. See Foster's Index Ecclesiasticus.",1624,gloucester
"Guise, John (Guyes)","of co. Gloucester, arm. Queen's Coll., matric. 4 Dec., 1618, aged 17; student of Lincoln's Inn 1620, as 2nd son of Sir William, of Elmore, co. Gloucester, kt.; brother of Antony 1624. See Foster's Inns of Court Reg.",1618,gloucester
"Guise, (Sir) William (Guyse)","of co. Gloucester, arm. Queen's Coll., matric. 16 June, 1610, aged 15; of Brockworth, co. Gloucester; student of Lincoln's Inn 1613 (as son and heir of William, of Elmore, co. Gloucester); knighted at Ricott-in-the-Fields 27 Aug., 1619; died 1643. See Foster's Inns of Court Reg. [20]",1610,gloucester
"Gulson, Anthony","of co. Leicester, pleb. Trinity Coll., matric. 16 May, 1606, aged 18; bar.-at-law, Middle Temple, 1616, as son and heir of Humphrey of Howby, co. Leicester, gent. See Foster's Judges and Barristers.",1606,leicester
"Gumbleden, John","of Southants, pleb. Broadgates Hall, matric. 26 June, 1618, aged 19; student Christ Church, B.A. 16 (or 20) Nov., 1621, M.A. 10 June, 1624, B.D. 2 May, 1632, preacher at Longworth, Berks, chaplain to Robert, earl of Leicester, rector of Llanhary, co. Glamorgan, licenced 4 Dec., 1632, to marry Florence, widow of Edward Gamage of Newcastle, co. Glamorgan, deceased; rector of Llanilid, als. St. Juliet, co. Glamorgan, 1639, and of Coyty, co. Glamorgan, 1645; died Sept. or Oct., 1657. See Ath. iii. 436; & London Marriage Licences, ed. Foster.",1618,southants,berks,leicester,glamorgan,london
"Gundrie, Hugh","of Dorset, pleb. St. Alban Hall, matric. 9 Nov., 1621, aged 18; B.A. 16 Feb., 1624-5, rector of Manston and of Maperton, Dorset, 1641, until ejected 1662. See Calamy, ii. 139; & Foster's Index Eccl.",1621,dorset
"Gundrye, James","of Dorset, pleb. Corpus Christi Coll., matric. 7 June, 1611, aged 18, ""paup. schol.""; B.A. 1 Feb., 1614-15, vicar of Abbotsham, Devon, 1616. See Foster's Index Eccl. [15]",1611,dorset,devon
"Gunn, William","of Oxon, pleb. Trinity Coll., matric. 21 March, 1616-17, aged 18, B.A. 8 Feb., 1620-1; M.A. from St. Edmund Hall 25 June, 1627, rector of Marden, Wilts, 1636. See Foster's Index Eccl.",1616,oxon,wilts
"Gunnes, Thomas","born in co. Gloucester, s. Thomas, of Stratford-upon-Avon, pleb. Wadham Coll., matric. 19 Nov., 1624, aged 17; B.A. from Hart Hall 23 March, 1628-9; one of these names vicar of Birling, Kent, ejected 1662, and died about 1666. See Calamy, iii. 321.",1624,gloucester,kent
"Gunsly, Robert","of Kent, pleb. University Coll., matric. 17 June, 1621, aged 18; B.A. 14 Feb., 1624-5. [5]",1621,kent
"Gunstone, Henry","of Somerset, pleb. Exeter Coll., matric. 3 June, 1603, aged 18, B.A. 11 Dec., 1607.",1603,somerset
"Gunter, George (Gounter)","of Sussex, militis fil. Brasenose Coll., matric. 16 June, 1610, aged 17; (s. Sir George, who was knighted 1 April, 1604.)",1610,sussex
"Guppie, John","of Dorset, pleb. Magdalen Hall, matric. 1 July, 1603, aged 20.",1603,dorset
"Gurgany, John","s. Hugh, of London, sacerdot. Christ Church, matric. 17 March, 1625-6, aged 19, servitor, B.A. 6 July, 1627, M.A. 3 July, 1630; chaplain of Merton Coll., created B.D. 16 Jan., 1642-3, D.D. 15 Dec., 1660, canon of Sarum, 1660, and of Chichester, vicar of Yapton, Sussex, 1662, rector of Clapham, Surrey, 1663, until he died in August, 1675. See Fasti, ii. 243; & Foster's Index Eccl.",1625,london,sarum,sussex,surrey
"Guy, Edward","s. Edward, of Appleby, Westmorland, pleb. Queen's Coll., matric. 30 April, 1624, aged 15; M.A. 25 June, 1634, vicar of St. Laurence Appleby, 1636. See Foster's Index Eccl. [16]",1624,westmorland
"Guy, Henry","of Middlesex, gent. Merton Coll., matric. 18 Oct., 1616, aged 19; B.A. 19 Nov., 1616, perhaps bar.-at-law, Middle Temple, 1625, as son and heir of Henry, of Tring, Herts, gent., deceased. See Foster's Judges and Barristers.",1616,middlesex,herts
"Guy, Nicholas","of Southants, pleb. Hart Hall, matric. 10 May, 1605, aged 17; B.A. 16 Feb., 1608-9, M.A. 1 July, 1611, rector of Little Thurrock, Essex, 1614. See Foster's Index Eccl.",1605,southants,essex
"Gwillim, David","of co. Monmouth, pleb. Jesus Coll., matric. 26 Feb., 1607-8, aged 18.",1607,monmouth
"Gwillam, John","of co. Gloucester, gent. Magdalen Hall, matric. 21 June, 1616, aged 17; B.A. 24 Feb., 1619-20; M.A. from Broadgates Hall 28 June, 1622 (then in orders), vicar of Down Hatherley, co. Gloucester, 1627. See Foster's Index Eccl.",1616,gloucester
"Gwynne, David","of co. Carmarthen, arm. St. John's Coll., matric. 16 June, 1610, aged 19; student of Middle Temple 1610, as 2nd son of Rowland, of Glanbrane, co. Carnarvon, esq. See Foster's Inns of Court Reg. [10]",1610,carmarthen,carnarvon
"Gwyn, Edward","of co. Brecon, arm. Jesus Coll., matric. 12 May, 1615, aged 17.",1615,brecon
"Gwynn, John","of co. Glamorgan, arm. Lincoln Coll., matric. 29 Nov., 1605, aged 19.",1605,glamorgan,lincoln
"Gwyn, John (Gwine or Owine)","born in London, doctoris fil. nat. max. Christ Church, matric. 14 Dec., 1621, aged 13; B.A. 9 May, 1626, M.A. 7 May, 1629, admitted to Merchant Taylors' school 1617; born May, 1605; one of these names sequestered from rectory of Cople, Beds, 1645; perhaps brother of Matthew 1621. See Robinson, i. 90; & Add. MS. 15,669, p. 97.",1621,london,beds
"Gwynn, Matthew","of Middlesex, pleb. Christ Church, matric. 12 Oct., 1621, aged 17, B.A. 26 June, 1623, M.A. 9 May, 1626; admitted to Merchant Taylors' school 1613; born 25 Dec., 1603; vicar of Evington, co. Leicester, 1637; perhaps brother of John 1621. See Foster's Index Eccl. & Robinson, i. 77.",1621,middlesex,leicester
"Gwyn, Owen (Gwinne)","of co. Carnarvon, pleb. Hart Hall, matric. 8 Feb., 1604-5, aged 20; B.A. 30 May, 1608, M.A. 4 July, 1615.",1604,carnarvon
"Habergham, Matthew","of co. Lancaster, pleb. University Coll., matric. 30 Jan., 1606-7, aged 18; a student of Gray's Inn 1610, as son and heir of Laurence, of Habergam, co. Lancaster. See Foster's Gray's Inn Reg.",1606,lancaster
"Haberley, Richard","of co. Hereford, cler fil. Brasenose Coll., matric. 7 Dec., 1621, aged 16; B.A. from Jesus Coll., 19 Feb., 1624-5, M.A. 2 June, 1627, rector of Llyswen, co. Brecon, 1637, and of Llanvillo, co. Brecon, 1661. See Foster's Index Eccl.",1621,hereford,brecon
"Hacket, Henry","of co. Gloucester, pleb. St. Alban Hall, matric. 26 Jan., 1615-16, aged 19, B.A. 10 Feb., 1617-18; M.A. from Hart Hall 21 June, 1621, rector of Machen, co. Monmouth, 1620, vicar of Trelleck, co. Monmouth, 1625, rector of Ross, co. Hereford, 1627-42; brother of Robert 1617. See Foster's Index Eccl.",1615,gloucester,monmouth,hereford
"Hackett, Robert","of co. Gloucester, pleb. St. Alban Hall, matric. 5 Dec., 1617, aged 19; B.A. from Hart Hall 16 Nov., 1620; M.A. from Wadham Coll. 19 June, 1623; died of the plague, and was buried in the churchyard, July, 1625, rector of Mitcheltroy, co. Monmouth, 1622-5; brother of Henry 1616. See Gardiner, 65; & Foster's Index Eccl.",1617,gloucester,monmouth
"Hackett, Roger","of Bucks, gent. Hart Hall, matric. 24 Oct., 1617, aged 17; student of the Middle Temple 1618, as son and heir of Roger, of North Crawley, Bucks, esq. See Foster's Inns of Court Reg.",1617,bucks
"Hackett, Thomas","of Bucks, doctoris fil. New Coll., matric. 23 Oct., 1618, aged 17; B.A. 4 May, 1622, M.A. 20 Jan., 1625-6, rector of Marsham, Kent, 1628, and of Compton All Saints', Hants, 1636, refused to take the covenant, etc. See Foster's Index Eccl. & Add. MS. 15,670, p. 51.",1618,bucks,kent,hants
"Hackshaw, Ralph","of London, gent. Brasenose Coll., matric. 24 Nov., 1615, aged 20; B.A. 4 Nov., 1616.",1615,london
"Haddon, Robert","s. Richard, of Charleton, Northants, pleb. Brasenose Coll., matric. 6 Dec., 1622, aged 17; B.A. 9 Feb., 1625-6, M.A. 7 July, 1631.",1622,northants
"Hadley, Moyses","of Somerset, cler fil. Queen's Coll., matric. 11 July, 1606, aged 18; rector of Hardington, Somerset, 1612; vicar of Twyford, Hants, 1620. See Foster's Index Eccl.",1606,somerset,hants
"Haggatt, Humphrey","of Sussex, arm. fil. nat. max. St. John's Coll., matric. 12 Nov., 1619, aged 17; admitted to Merchant Taylors' school 1613 (as born 5 Jan., 1601), became a student of Gray's Inn 1624 (as Humphrey Haggitt, of London, esq.); one of these names M.P. Chichester 1625-6. See Foster's Gray's Inn Reg. & Robinson, i. 76.",1619,sussex,london
"Hague, Abraham (Haighe)","of Yorks, pleb. University Coll., matric. 17 Nov., 1615, aged 18.",1615,yorks
"Haines, Thomas","of co. Gloucester, pleb. Oriel Coll., matric. 27 Oct., 1615, aged 17; B.A. 28 Jan., 1618-19, M.A. 15 May, 1623, as Haynes; perhaps rector of Widford, co. Gloucester, 1617, as Haines, or rector of Sapperton, co. Gloucester, 1641, as Haynes. See Foster's Index Eccl.",1615,gloucester
"Hale, Alexander","of Berks, pleb. Magdalen Coll., matric. 16 June, 1610, aged 19; chorister 1609-11 (as Hales), B.A. 4 Nov., 1611, vicar of Wootton, Beds, 1638. See Bloxam, i. 33; & Foster's Index Ecclesiasticus.",1610,berks,beds
"Hale, Griffin (Hayle)","of Oxon, cler. fil. Christ Church, matric. 8 June, 1604, aged 17, ""pauper scholaris.""",1604,oxon
"Hale, William (Hayle)","of Salop, pleb. St. John's Coll., matric. 16 June, 1610, aged 17; sup. for B.A. 26 May, 1614. [30]",1610,salop
"Hales, John","of co. Warwick, arm. Magdalen Coll., matric. 16 June, 1610, aged 18; a student of Gray's Inn 1609, as of Kersley, co. Warwick, gent.; probably son of Christopher and father of Christopher 1636. See Foster's Gray's Inn Reg.",1610,warwick
"Halhed, William","s. Henry, of Banbury, Oxon, pleb. Corpus Christi Coll., matric. 26 Nov., 1624, aged 17.",1624,oxon
